"pit_stop_id","driver_id","duration_seconds","no_of_stops","fastest_lap","fastest_lap_speed","lap_numbers"
1,44,"58.90",2,45,"237.1","[27, 38]"
2,1,"57.40",2,48,"238.4","[26, 38]"
3,4,"59.00",2,43,"237.6","[24, 39]"
4,81,"58.70",2,51,"239.0","[28, 38]"
5,55,"87.00",3,52,"239.0","[26, 39, 50]"
6,27,"59.70",2,43,"236.1","[26, 39]"
7,18,"58.40",2,46,"235.9","[26, 39]"
8,14,"59.00",2,47,"236.4","[27, 38]"
9,23,"64.30",2,47,"236.4","[27, 38]"
10,22,"59.70",2,43,"235.0","[27, 38]"
11,2,"60.20",2,42,"235.7","[27, 38]"
12,20,"60.09",2,42,"235.4","[27, 37]"
13,3,"58.70",2,47,"233.7","[26, 37]"
14,16,"86.00",3,43,"236.3","[19, 27, 37]"
15,16,"62.10",2,44,"232.3","[26, 37]"
16,31,"86.00",4,46,"233.4","[19, 21, 26, 38]"
17,11,"118.80",4,50,"236.4","[19, 28, 37, 47]"
18,24,"120.02",4,43,"233.0","[12, 19, 27, 37]"
19,63,"32.00",1,3,"232.3","[27]"
